zip_code,year,population
00754,2014,40022
00754,2013,40330
00754,2012,40631
00754,2011,40846
00754,2010,40828
00757,2016,22732
00757,2015,22913
00757,2014,23114
00757,2013,23231
00757,2012,23261
00757,2011,23210
00757,2010,23263
00765,2016,8801
00765,2015,8993
00765,2014,9139
00765,2013,9206
00765,2012,9236
00765,2011,9182
00765,2010,9098
00766,2016,24489
00766,2015,24875
00766,2014,25549
00766,2013,25991
00766,2012,26315
00766,2011,26727
00766,2010,26488
00767,2016,35734
00767,2015,36340
00767,2014,36962
00767,2013,37442
00767,2012,37863
00767,2011,38138
00767,2010,38019
00769,2016,39630
00769,2015,39670
00769,2014,39871
00769,2013,40026
00769,2012,40088
00769,2011,40179
00769,2010,40248
00771,2016,38132
00771,2015,38340
00771,2014,38435
00771,2013,38504
00771,2012,38231
00771,2011,38000
00771,2010,38394
00772,2016,21096
00772,2015,21478
00772,2014,21682
00772,2013,21712
00772,2012,21883
00772,2011,22194
00772,2010,23105
00773,2016,19237
00773,2015,19497
00773,2014,19731
00773,2013,19918
00773,2012,20050
00773,2011,20106
00773,2010,20068
00775,2016,1493
00775,2015,1554
00775,2014,1585
00775,2013,1478
00775,2012,1535
00775,2011,1790
00775,2010,1786
00777,2016,40398
00777,2015,40570
00777,2014,40863
00777,2013,40892
00777,2012,40945
00777,2011,40772
00777,2010,40684
00778,2016,46990
00778,2015,46765
00778,2014,46569
00778,2013,46109
00778,2012,45564
00778,2011,44880
00778,2010,45429
00780,2016,11597
00780,2015,13016
00780,2014,13678
00780,2013,13418
00780,2012,13340
00780,2011,13954
00780,2010,13800
00782,2016,18544
00782,2015,18530
00782,2014,18595
00782,2013,18504
00782,2012,18989
00782,2011,18991
00782,2010,19304
00783,2016,34702
00783,2015,35151
00783,2014,35856
00783,2013,36466
00783,2012,36756
00783,2011,37004
00783,2010,36557
00784,2016,41993
00784,2015,42625
00784,2014,43251
00784,2013,43746
00784,2012,44782
00784,2011,45043
00784,2010,44637
00786,2016,287
00786,2015,288
00786,2014,327
00786,2013,335
00786,2012,386
00786,2011,346
00786,2010,357
00791,2016,50515
00791,2015,50809
00791,2014,51757
00791,2013,52760
00791,2012,53104
00791,2011,53454
00791,2010,53417
00794,2016,29635
00794,2015,30215
00794,2014,30462
00794,2013,30688
00794,2012,30674
00794,2011,30675
00794,2010,30585
00795,2016,45852
00795,2015,46450
00795,2014,47106
00795,2013,47580
00795,2012,48403
00795,2011,48671
00795,2010,48736
00901,2016,6541
00901,2015,6132
00901,2014,6428
00901,2013,6444
00901,2012,6257
00901,2011,6064
00901,2010,7080
00906,2016,76
00906,2015,73
00906,2014,43
00906,2013,36
00906,2012,36
00906,2011,10
00906,2010,4
00907,2016,17472
00907,2015,17382
00907,2014,17910
00907,2013,17696
00907,2012,17049
00907,2011,16169
